Years_Experience,Education_Level,Job_Role,Location,Salary
6,Bachelor's,Senior Developer,Suburban,96897.84
19,Bachelor's,Manager,Suburban,164454.85
14,Master's,Junior Developer,Metro,139089.87
10,High School,Director,Urban,166107.73
7,High School,Senior Developer,Suburban,90186.92
20,Bachelor's,Junior Developer,Suburban,124956.3
6,Master's,Junior Developer,Metro,116154.72
18,Bachelor's,Technical Lead,Suburban,155872.42
10,High School,Technical Lead,Suburban,118739.32
10,Master's,Manager,Rural,140709.0
20,Master's,Junior Developer,Rural,126710.56
3,High School,Junior Developer,Urban,67762.01
7,Bachelor's,Senior Developer,Urban,103130.68
2,Master's,Senior Developer,Suburban,97913.39
20,Bachelor's,Senior Developer,Urban,156472.52
1,High School,Director,Suburban,126774.84
11,High School,Director,Metro,180901.81
5,High School,Manager,Metro,132320.55
1,Master's,Technical Lead,Suburban,107180.5
20,Master's,Senior Developer,Metro,177503.94
0,High School,Senior Developer,Urban,75119.86
11,Bachelor's,Senior Developer,Suburban,112988.11
11,Bachelor's,Manager,Suburban,143863.91
16,Bachelor's,Junior Developer,Suburban,105008.03
9,Master's,Senior Developer,Urban,129892.8
15,Bachelor's,Junior Developer,Metro,129772.79
14,Bachelor's,Senior Developer,Urban,129846.43
14,Bachelor's,Manager,Metro,176480.47
18,Bachelor's,Technical Lead,Urban,164922.83
11,Bachelor's,Junior Developer,Urban,99675.24
19,Master's,Director,Urban,221931.15
2,Bachelor's,Technical Lead,Suburban,102237.16
4,Master's,Junior Developer,Urban,95588.26
18,Bachelor's,Junior Developer,Urban,123643.33
6,High School,Junior Developer,Rural,49040.94
20,Bachelor's,Junior Developer,Urban,132067.95
8,Master's,Director,Suburban,176517.61
6,PhD,Senior Developer,Urban,134875.45
17,Bachelor's,Manager,Urban,174402.14
3,Bachelor's,Junior Developer,Suburban,69392.88
13,Master's,Junior Developer,Suburban,108120.08
17,Bachelor's,Senior Developer,Suburban,128761.49
8,High School,Junior Developer,Metro,93031.97
20,Master's,Senior Developer,Rural,140964.59
1,Bachelor's,Manager,Metro,135761.59
19,Bachelor's,Senior Developer,Suburban,138395.89
14,Bachelor's,Senior Developer,Metro,140425.77
6,High School,Junior Developer,Metro,83910.12
11,Bachelor's,Junior Developer,Suburban,96950.88
7,Master's,Junior Developer,Urban,108542.25
14,Bachelor's,Senior Developer,Suburban,123954.92
2,Bachelor's,Junior Developer,Urban,72554.9
13,Bachelor's,Senior Developer,Rural,106840.15
16,Bachelor's,Senior Developer,Rural,120398.8
3,PhD,Senior Developer,Rural,109903.68
17,Bachelor's,Junior Developer,Suburban,104959.71
7,Bachelor's,Junior Developer,Suburban,83527.47
3,Master's,Manager,Urban,144983.21
1,Bachelor's,Technical Lead,Metro,126149.01
5,Bachelor's,Senior Developer,Suburban,88633.56
9,Bachelor's,Junior Developer,Urban,93252.69
3,Bachelor's,Director,Suburban,139169.12
17,Bachelor's,Technical Lead,Urban,167784.19
11,Bachelor's,Junior Developer,Metro,113773.05
1,Master's,Manager,Metro,155533.16
9,Bachelor's,Junior Developer,Metro,116620.92
3,Bachelor's,Senior Developer,Rural,72986.29
13,Bachelor's,Senior Developer,Urban,125766.93
15,Bachelor's,Junior Developer,Urban,116864.76
14,Master's,Director,Suburban,187781.83
7,Bachelor's,Technical Lead,Metro,140646.96
13,Bachelor's,Senior Developer,Rural,106447.36
7,Master's,Junior Developer,Urban,109804.66
20,Bachelor's,Junior Developer,Suburban,121644.07
15,Bachelor's,Junior Developer,Suburban,103860.93
12,Bachelor's,Technical Lead,Urban,142874.06
17,Bachelor's,Junior Developer,Urban,124976.2
14,Master's,Senior Developer,Suburban,132813.16
20,High School,Technical Lead,Suburban,148798.87
12,Bachelor's,Junior Developer,Urban,102843.51
8,High School,Technical Lead,Rural,94529.85
14,Master's,Junior Developer,Suburban,110815.86
12,Bachelor's,Director,Metro,196392.11
0,Master's,Senior Developer,Urban,98946.98
6,Bachelor's,Junior Developer,Suburban,75322.3
8,Master's,Junior Developer,Urban,105244.32
0,PhD,Senior Developer,Urban,118045.25
11,Master's,Technical Lead,Metro,173596.51
7,Master's,Technical Lead,Urban,146191.94
10,Bachelor's,Senior Developer,Suburban,108459.56
18,Bachelor's,Junior Developer,Suburban,115617.03
16,Bachelor's,Junior Developer,Suburban,106711.65
7,Bachelor's,Junior Developer,Urban,78026.06
2,Bachelor's,Senior Developer,Rural,73481.97
2,Bachelor's,Manager,Urban,124622.46
